** AC analysis **

** Net information **
resistor       : [ rs ]
voltage source : [ vcc vin vin2 ]
current source : [ isrc ]
vccs           : [ ]
vcvs           : [ ]
ccvs           : [ ]
cccs           : [ ]
diode          : [ ]
bjt            : [ qamp qsrc1 qsrc2 ]
capacitor      : [ ]
inductor       : [ ]

** Node information **
0  : [ vcc isrc qamp vin ]
supply: [ vcc qsrc1 qsrc2 ]
cbias: [ isrc qsrc1 qsrc1 qsrc2 ]
out: [ qsrc2 qamp ]
b  : [ qamp rs ]
input2: [ rs vin2 ]
input1: [ vin2 vin ]

freq=123027 sol=(-3.06003e-05,1.22344e-06) s=0.306248
freq=125893 sol=(-3.05981e-05,1.25185e-06) s=0.306237
freq=128825 sol=(-3.05957e-05,1.28091e-06) s=0.306226
freq=131826 sol=(-3.05933e-05,1.31064e-06) s=0.306214
freq=134896 sol=(-3.05907e-05,1.34106e-06) s=0.306201
freq=138038 sol=(-3.0588e-05,1.37218e-06) s=0.306188
freq=141254 sol=(-3.05852e-05,1.40402e-06) s=0.306174
freq=144544 sol=(-3.05822e-05,1.43659e-06) s=0.30616
freq=147911 sol=(-3.05791e-05,1.46991e-06) s=0.306145
freq=151356 sol=(-3.05759e-05,1.50399e-06) s=0.306129
freq=154882 sol=(-3.05725e-05,1.53885e-06) s=0.306112
freq=158489 sol=(-3.0569e-05,1.57452e-06) s=0.306095
freq=162181 sol=(-3.05652e-05,1.611e-06) s=0.306077
freq=165959 sol=(-3.05614e-05,1.64833e-06) s=0.306058
freq=169824 sol=(-3.05573e-05,1.6865e-06) s=0.306038
freq=173780 sol=(-3.0553e-05,1.72555e-06) s=0.306017
freq=177828 sol=(-3.05485e-05,1.76549e-06) s=0.305995
freq=181970 sol=(-3.05439e-05,1.80635e-06) s=0.305972
freq=186209 sol=(-3.0539e-05,1.84813e-06) s=0.305949
freq=190546 sol=(-3.05339e-05,1.89087e-06) s=0.305924
freq=194984 sol=(-3.05285e-05,1.93458e-06) s=0.305897
freq=199526 sol=(-3.05229e-05,1.97929e-06) s=0.30587
freq=204174 sol=(-3.0517e-05,2.02502e-06) s=0.305841
freq=208930 sol=(-3.05109e-05,2.07178e-06) s=0.305811
freq=213796 sol=(-3.05044e-05,2.1196e-06) s=0.30578
freq=218776 sol=(-3.04977e-05,2.16851e-06) s=0.305747
freq=223872 sol=(-3.04906e-05,2.21852e-06) s=0.305712
freq=229087 sol=(-3.04833e-05,2.26966e-06) s=0.305676
freq=234423 sol=(-3.04755e-05,2.32195e-06) s=0.305639
freq=239883 sol=(-3.04675e-05,2.37542e-06) s=0.305599
freq=245471 sol=(-3.0459e-05,2.43009e-06) s=0.305558
freq=251189 sol=(-3.04501e-05,2.48599e-06) s=0.305515
freq=257040 sol=(-3.04409e-05,2.54315e-06) s=0.305469
freq=263027 sol=(-3.04312e-05,2.60158e-06) s=0.305422
freq=269153 sol=(-3.0421e-05,2.66131e-06) s=0.305372
freq=275423 sol=(-3.04104e-05,2.72237e-06) s=0.30532
freq=281838 sol=(-3.03993e-05,2.78479e-06) s=0.305266
freq=288403 sol=(-3.03877e-05,2.8486e-06) s=0.305209
freq=295121 sol=(-3.03755e-05,2.91381e-06) s=0.30515
freq=301995 sol=(-3.03628e-05,2.98047e-06) s=0.305087
freq=309030 sol=(-3.03495e-05,3.04859e-06) s=0.305022
freq=316228 sol=(-3.03355e-05,3.1182e-06) s=0.304954
freq=323594 sol=(-3.0321e-05,3.18934e-06) s=0.304883
freq=331131 sol=(-3.03057e-05,3.26203e-06) s=0.304808
freq=338844 sol=(-3.02898e-05,3.3363e-06) s=0.30473
freq=346737 sol=(-3.02731e-05,3.41218e-06) s=0.304648
freq=354813 sol=(-3.02556e-05,3.4897e-06) s=0.304562
freq=363078 sol=(-3.02374e-05,3.56889e-06) s=0.304473
freq=371535 sol=(-3.02183e-05,3.64977e-06) s=0.304379
freq=380189 sol=(-3.01983e-05,3.73238e-06) s=0.304281
freq=389045 sol=(-3.01775e-05,3.81675e-06) s=0.304179
freq=398107 sol=(-3.01556e-05,3.9029e-06) s=0.304072
freq=407380 sol=(-3.01328e-05,3.99086e-06) s=0.303959
freq=416869 sol=(-3.01089e-05,4.08067e-06) s=0.303842
freq=426580 sol=(-3.0084e-05,4.17235e-06) s=0.303719
freq=436516 sol=(-3.00579e-05,4.26593e-06) s=0.303591
freq=446684 sol=(-3.00306e-05,4.36144e-06) s=0.303457
freq=457088 sol=(-3.00021e-05,4.45891e-06) s=0.303317
freq=467735 sol=(-2.99724e-05,4.55836e-06) s=0.30317
freq=478630 sol=(-2.99412e-05,4.65981e-06) s=0.303017
freq=489779 sol=(-2.99087e-05,4.76331e-06) s=0.302856
freq=501187 sol=(-2.98747e-05,4.86887e-06) s=0.302689
freq=512861 sol=(-2.98392e-05,4.97651e-06) s=0.302513
freq=524807 sol=(-2.98021e-05,5.08626e-06) s=0.30233
freq=537032 sol=(-2.97634e-05,5.19814e-06) s=0.302139
freq=549541 sol=(-2.97229e-05,5.31218e-06) s=0.301939
freq=562341 sol=(-2.96806e-05,5.42839e-06) s=0.30173
freq=575440 sol=(-2.96365e-05,5.54679e-06) s=0.301511
freq=588844 sol=(-2.95904e-05,5.6674e-06) s=0.301283
freq=602560 sol=(-2.95423e-05,5.79023e-06) s=0.301044
freq=616595 sol=(-2.94921e-05,5.9153e-06) s=0.300795
freq=630957 sol=(-2.94398e-05,6.04262e-06) s=0.300535
freq=645654 sol=(-2.93851e-05,6.17219e-06) s=0.300263
freq=660693 sol=(-2.93281e-05,6.30403e-06) s=0.299979
freq=676083 sol=(-2.92686e-05,6.43813e-06) s=0.299683
freq=691831 sol=(-2.92066e-05,6.5745e-06) s=0.299374
freq=707946 sol=(-2.91419e-05,6.71314e-06) s=0.299051
freq=724436 sol=(-2.90744e-05,6.85403e-06) s=0.298714
freq=741310 sol=(-2.90042e-05,6.99718e-06) s=0.298362
freq=758578 sol=(-2.89309e-05,7.14257e-06) s=0.297996
freq=776247 sol=(-2.88546e-05,7.29018e-06) s=0.297613
freq=794328 sol=(-2.87751e-05,7.43999e-06) s=0.297214
freq=812831 sol=(-2.86923e-05,7.59198e-06) s=0.296798
freq=831764 sol=(-2.86061e-05,7.74611e-06) s=0.296364
freq=851138 sol=(-2.85164e-05,7.90236e-06) s=0.295911
freq=870964 sol=(-2.84231e-05,8.06067e-06) s=0.29544
freq=891251 sol=(-2.8326e-05,8.22101e-06) s=0.294948
freq=912011 sol=(-2.82249e-05,8.38333e-06) s=0.294436
freq=933254 sol=(-2.81199e-05,8.54756e-06) s=0.293903
freq=954993 sol=(-2.80108e-05,8.71364e-06) s=0.293348
freq=977237 sol=(-2.78973e-05,8.8815e-06) s=0.29277
freq=1e+06 sol=(-2.77795e-05,9.05106e-06) s=0.292168
freq=1.02329e+06 sol=(-2.76572e-05,9.22223e-06) s=0.291542
freq=1.04713e+06 sol=(-2.75302e-05,9.39493e-06) s=0.290891
freq=1.07152e+06 sol=(-2.73984e-05,9.56905e-06) s=0.290214
freq=1.09648e+06 sol=(-2.72618e-05,9.74448e-06) s=0.28951
freq=1.12202e+06 sol=(-2.71201e-05,9.9211e-06) s=0.288778
freq=1.14815e+06 sol=(-2.69732e-05,1.00988e-05) s=0.288017
freq=1.1749e+06 sol=(-2.68211e-05,1.02774e-05) s=0.287227
freq=1.20226e+06 sol=(-2.66636e-05,1.04568e-05) s=0.286407
freq=1.23027e+06 sol=(-2.65005e-05,1.06369e-05) s=0.285556
freq=1.25893e+06 sol=(-2.63319e-05,1.08174e-05) s=0.284673
freq=1.28825e+06 sol=(-2.61575e-05,1.09982e-05) s=0.283756
freq=1.31826e+06 sol=(-2.59773e-05,1.11791e-05) s=0.282806
freq=1.34896e+06 sol=(-2.57911e-05,1.136e-05) s=0.281821
freq=1.38038e+06 sol=(-2.5599e-05,1.15406e-05) s=0.280801
freq=1.41254e+06 sol=(-2.54007e-05,1.17207e-05) s=0.279745
freq=1.44544e+06 sol=(-2.51963e-05,1.19001e-05) s=0.278651
freq=1.47911e+06 sol=(-2.49856e-05,1.20786e-05) s=0.27752
freq=1.51356e+06 sol=(-2.47686e-05,1.22559e-05) s=0.276349
freq=1.54882e+06 sol=(-2.45452e-05,1.24318e-05) s=0.27514
freq=1.58489e+06 sol=(-2.43155e-05,1.26061e-05) s=0.27389
freq=1.62181e+06 sol=(-2.40794e-05,1.27784e-05) s=0.272599
freq=1.65959e+06 sol=(-2.38368e-05,1.29486e-05) s=0.271267
freq=1.69824e+06 sol=(-2.35878e-05,1.31163e-05) s=0.269893
freq=1.7378e+06 sol=(-2.33325e-05,1.32812e-05) s=0.268476
freq=1.77828e+06 sol=(-2.30707e-05,1.34431e-05) s=0.267016
freq=1.8197e+06 sol=(-2.28027e-05,1.36018e-05) s=0.265513
freq=1.86209e+06 sol=(-2.25283e-05,1.37568e-05) s=0.263965
freq=1.90546e+06 sol=(-2.22478e-05,1.3908e-05) s=0.262373
freq=1.94984e+06 sol=(-2.19612e-05,1.40549e-05) s=0.260737
freq=1.99526e+06 sol=(-2.16687e-05,1.41974e-05) s=0.259056
freq=2.04174e+06 sol=(-2.13703e-05,1.43352e-05) s=0.25733
freq=2.0893e+06 sol=(-2.10662e-05,1.44678e-05) s=0.255559
freq=2.13796e+06 sol=(-2.07566e-05,1.45952e-05) s=0.253743
freq=2.18776e+06 sol=(-2.04416e-05,1.47169e-05) s=0.251883
freq=2.23872e+06 sol=(-2.01216e-05,1.48327e-05) s=0.249977
freq=2.29087e+06 sol=(-1.97966e-05,1.49424e-05) s=0.248028
freq=2.34423e+06 sol=(-1.94669e-05,1.50457e-05) s=0.246035
freq=2.39883e+06 sol=(-1.91328e-05,1.51423e-05) s=0.243999
freq=2.45471e+06 sol=(-1.87946e-05,1.5232e-05) s=0.24192
freq=2.51189e+06 sol=(-1.84525e-05,1.53147e-05) s=0.239798
freq=2.5704e+06 sol=(-1.81068e-05,1.539e-05) s=0.237636
freq=2.63027e+06 sol=(-1.77579e-05,1.54578e-05) s=0.235433
freq=2.69153e+06 sol=(-1.74061e-05,1.55179e-05) s=0.23319
freq=2.75423e+06 sol=(-1.70517e-05,1.55702e-05) s=0.23091
freq=2.81838e+06 sol=(-1.66951e-05,1.56146e-05) s=0.228591
freq=2.88403e+06 sol=(-1.63366e-05,1.56508e-05) s=0.226237
freq=2.95121e+06 sol=(-1.59767e-05,1.56789e-05) s=0.223848
freq=3.01995e+06 sol=(-1.56156e-05,1.56987e-05) s=0.221426
freq=3.0903e+06 sol=(-1.52538e-05,1.57102e-05) s=0.218972
freq=3.16228e+06 sol=(-1.48916e-05,1.57134e-05) s=0.216488
freq=3.23594e+06 sol=(-1.45294e-05,1.57082e-05) s=0.213975
freq=3.31131e+06 sol=(-1.41677e-05,1.56947e-05) s=0.211435
freq=3.38844e+06 sol=(-1.38068e-05,1.56729e-05) s=0.20887
freq=3.46737e+06 sol=(-1.3447e-05,1.56428e-05) s=0.206281
freq=3.54813e+06 sol=(-1.30888e-05,1.56046e-05) s=0.203671
freq=3.63078e+06 sol=(-1.27324e-05,1.55583e-05) s=0.201041
freq=3.71535e+06 sol=(-1.23784e-05,1.5504e-05) s=0.198393
freq=3.80189e+06 sol=(-1.2027e-05,1.5442e-05) s=0.19573
freq=3.89045e+06 sol=(-1.16785e-05,1.53722e-05) s=0.193053
freq=3.98107e+06 sol=(-1.13333e-05,1.5295e-05) s=0.190363
freq=4.0738e+06 sol=(-1.09918e-05,1.52105e-05) s=0.187664
freq=4.16869e+06 sol=(-1.06541e-05,1.51189e-05) s=0.184957
freq=4.2658e+06 sol=(-1.03206e-05,1.50205e-05) s=0.182245
freq=4.36516e+06 sol=(-9.99161e-06,1.49154e-05) s=0.179528
freq=4.46684e+06 sol=(-9.6673e-06,1.4804e-05) s=0.176809
freq=4.57088e+06 sol=(-9.34794e-06,1.46864e-05) s=0.17409
freq=4.67735e+06 sol=(-9.03375e-06,1.4563e-05) s=0.171373
freq=4.7863e+06 sol=(-8.72492e-06,1.44339e-05) s=0.16866
freq=4.89779e+06 sol=(-8.42165e-06,1.42996e-05) s=0.165953
freq=5.01187e+06 sol=(-8.12408e-06,1.41602e-05) s=0.163252
freq=5.12861e+06 sol=(-7.83238e-06,1.40162e-05) s=0.160561
freq=5.24807e+06 sol=(-7.54667e-06,1.38676e-05) s=0.157881
freq=5.37032e+06 sol=(-7.26706e-06,1.37149e-05) s=0.155213
freq=5.49541e+06 sol=(-6.99365e-06,1.35584e-05) s=0.152559
freq=5.62341e+06 sol=(-6.72651e-06,1.33983e-05) s=0.14992
freq=5.7544e+06 sol=(-6.4657e-06,1.32349e-05) s=0.147298
freq=5.88844e+06 sol=(-6.21127e-06,1.30685e-05) s=0.144695
freq=6.0256e+06 sol=(-5.96325e-06,1.28994e-05) s=0.142111
freq=6.16595e+06 sol=(-5.72165e-06,1.27279e-05) s=0.139548
freq=6.30957e+06 sol=(-5.48647e-06,1.25542e-05) s=0.137007
freq=6.45654e+06 sol=(-5.25771e-06,1.23786e-05) s=0.13449
freq=6.60693e+06 sol=(-5.03532e-06,1.22014e-05) s=0.131996
freq=6.76083e+06 sol=(-4.81929e-06,1.20228e-05) s=0.129527
freq=6.91831e+06 sol=(-4.60955e-06,1.1843e-05) s=0.127085
freq=7.07946e+06 sol=(-4.40606e-06,1.16624e-05) s=0.124669
freq=7.24436e+06 sol=(-4.20875e-06,1.1481e-05) s=0.122281
freq=7.4131e+06 sol=(-4.01753e-06,1.12992e-05) s=0.119922
freq=7.58578e+06 sol=(-3.83232e-06,1.11171e-05) s=0.117591
freq=7.76247e+06 sol=(-3.65304e-06,1.09349e-05) s=0.11529
freq=7.94328e+06 sol=(-3.47959e-06,1.07529e-05) s=0.113019
